Store Name,Address,Timings,Phone Number,Coordinates
Nykaa Luxe - Infiniti Mall ,"Ground Floor, Unit No 14,New Link Road, Oshiwara,Andheri West, Mumbai - 400053 Ph: 022-22762722",11:00 AM - 09:30 PM,022-2276272,"(19.149242308525952, 72.8314811237303)"
Nykaa On Trend - Seawoods Grand Central Mall ,"Upper Ground floor, Plot No.R-1, Sector 40, Seawoods Railway Station, Navi Mumbai- 400706 Ph: 022-22762722",11:00 AM - 09:30 PM,022-2276272,"(19.013564973120225, 73.01602424242478)"
Nykaa Luxe - Westend Mall ,"Ground Floor, Unit no: GS-09C, Aundh Pune - 411007 Ph: 022-22762722",11:00 AM - 09:30 PM,022-2276272,"(18.558856079683217, 73.81017970767394)"
Nykaa On Trend - Palladium Mall ,"Ground Floor, 28, Velachery Road Nagendra Nagar, Anna Garden Velachery, Chennai- 600042",11:00 AM - 09:30 PM,,"(12.977520685166835, 80.21937599415861)"
Nykaa On Trend - Prozone Mall ,"Ground Floor, Sivanandhapuram, Saravanampatty, Coimbatore, 641035 Ph: 022-22762722",11:00 AM - 09:30 PM,022-2276272,"(11.05555000000004, 76.99548000000004)"
Nykaa Luxe - Next Treasure Island Next Mall ,"Ground Floor, Rabindranath Tagore Marg, Flim Colony Indore- 452001",11:00 AM - 09:30 PM,,"(22.717083849709823, 75.87292266252801)"
Nykaa Luxe - L&T Metro Mall ,"Ground Floor Nagarjuna Hills, Punjagutta Hyderabad- 500082",11:00 AM - 09:30 PM,,"(17.428600000000074, 78.45081000000005)"
Nykaa On Trend - Logix City Centre Mall ,"Ground floor, Store No-6, Plot No BW 58, Sector 32 Noida: 201301",11:00 AM - 09:30 PM,,"(28.578765258669385, 77.35127073832868)"
Nykaa Luxe - Khan Market ,"58b, Rabindra Nagar New Delhi- 110003",11:00 AM - 09:30 PM,,"(28.60101145035972, 77.22598549547206)"
Nykaa Luxe - The Chanakya ,"Second floor Unit No S202-203 13A-16D, Tikendrajeet Marg New Delhi- 110021",11:00 AM - 09:30 PM,,"(28.594935000000078, 77.18351857100004)"
Nykaa Luxe - Indira Gandhi International Airport ,"Domestic Departure, Terminal-3 New Delhi- 110037",11:00 AM - 09:30 PM,,"(28.561960000000056, 77.11985000000004)"
Nykaa On Trend - Mall of Amritsar ,"Ground Floor, Sultan Wind Sub Urban, Main GT Road Amritsar- 143001",11:00 AM - 09:30 PM,,"(31.633293698625543, 74.84997754856502)"
Nykaa On Trend - Mantri Square Mall ,"Unit No.UG-15A, Sampige Rd, Malleshwaram West, Bengaluru, Karnataka 560003",11:00 AM - 09:30 PM,,"(13.00084185920955, 77.57129393564894)"
